code	meaning
D-62010	ILEUS, NOS
D-62040	IDIOPATHIC ENTEROPATHY SYNDROME
D-62160	REGIONAL ENTEROCOLITIS
D-62170	MALABSORPTION SYNDROME, NOS
D-62570	CHRONIC ULCERATIVE COLITIS
D-63310	DISEASE OF LIVER, NOS
D-63430	JAUNDICE, OBSTRUCTIVE
D-65020	NEPHROPATHY, NOS
D-65050	END STAGE RENAL DISEASE, NOS
D-65110	RENAL FAILURE, ACUTE
D-65120	RENAL FAILURE, CHRONIC
D-65150	UREMIA SYNDROME
D-65160	PRERENAL UREMIA SYNDROME
D-67000	RENAL GLOMERULAR DISEASE OR SYNDROME, NOS
D-67100	CHRONIC GLOMERULONEPHRITIS SYNDROME
D-67630	ACUTE TUBULO-INTERSTITIAL NEPHRITIS
D-70000	DISEASE OR SYNDROME OF CARDIOVASCULAR SYSTEM, NOS
D-70020	CONGENITAL CARDIOVASCULAR DISEASE, NOS
D-70300	DISEASE OR SYNDROME OF HEART, NOS
D-70320	CONGENITAL HEART DISEASE, NOS
D-70500	HEART FAILURE, NOS
D-70510	HEART FAILURE, RIGHT-SIDED  (T-32010)
D-70520	HEART FAILURE, LEFT-SIDED  (T-32020)
D-71000	CARDIOMYOPATHY, NOS
D-71010	CONGESTIVE CARDIOMYOPATHY, NOS
D-71100	HYPERTROPHIC CARDIOMYOPATHY, NOS
D-71500	RHEUMATIC HEART DISEASE
D-72000	VALVULAR HEART DISEASE OR SYNDROME, NOS
D-72100	INFECTIVE ENDOCARDITIS, NOS
D-72110	BACTERIAL ENDOCARDITIS
D-72500	ISCHEMIC HEART DISEASE OR SYNDROME, NOS
D-72560	MYOCARDIAL INFARCTION SYNDROME
D-73030	ARTERIAL VASCULAR DISEASE
D-73210	POLYARTERITIS NODOSA
D-73500	GENERALIZED ARTERIOSCLEROTIC DISEASE, NOS
D-73520	ARTERIOSCLEROTIC HEART DISEASE, NOS
D-73700	HYPERTENSIVE CARDIOVASCULAR DISEASE OR SYNDROME, NOS
D-75000	DISEASE OR SYNDROME OF RESPIRATORY SYSTEM, NOS
D-75060	LOWER RESPIRATORY TRACT INFECTIOUS DISEASE, NOS
D-75070	CLINICAL PNEUMONIA, NOS
D-76000	PNEUMOCONIOSIS
D-76100	ANTHRACOSIS
D-76180	KAOLINOSIS
D-77050	RESPIRATORY DISTRESS SYNDROME
D-77060	HYALINE MEMBRANE DISEASE
D-77510	ASPIRATION SYNDROME IN THE NEWBORN, NOS
D-80000	NEUROMUSCULAR DISEASE OR SYNDROME, NOS
D-80020	NERVOUS SYSTEM DISEASE OR SYNDROME, NOS
D-80040	MUSCLE DISEASE OR SYNDROME, NOS
D-80100	MYOGLOBINURIA SYNDROME, NOS
D-80200	DYSTROPHIC MUSCLE DISEASE, NOS
D-80210	PROGRESSIVE MUSCULATURE DYSTROPHY, NOS
D-84150	CEREBELLOPONTINE ANGLE SYNDROME  (CUSHINGS SYNDROME)
D-87210	HEPATIC ENCEPHALOPATHY SYNDROME
D-88500	ENCEPHALOPATHY, NONSPECIFIC
D-89030	APOPLEXY, NOS
D-89380	STROKE, COMPLETED, NEUROLOGICAL
D-8X000	MYELOPATHY, NOS
D-8X300	NEUROPATHY, NOS
D-93090	CHILD ABUSE SYNDROME
D-93280	NEGLECTED INFANT SYNDROME
D-X0000	EYE DISEASE OR SYNDROME, NOS
D-X3000	GLAUCOMA, NOS
D-X6210	ATROPHIC RHINITIS
D-Y0000	DISEASE OR SYNDROME PRESENT, NOS
D-Y0020	DISEASE SUSPECTED
D-Y0050	CLINICAL DISEASE OR SYNDROME PRESENT  (RELATED TO M & T)
D-Y0090	SUBCLINICAL DISEASE OR SYNDROME
D-Y0100	CONGENITAL DISEASE, NOS
D-Y0200	ENVIRONMENT RELATED DISEASE, NOS
D-Y0230	NATURE ENVIRONMENT RELATED DISEASE
D-Y0300	NEOPLASTIC DISEASE, NOS
D-Y0500	POISONING SYNDROME, NOS
D-YY001	FATAL FASTING MACAQUE SYNDROME
D-YY002	PERINATAL DEATH
D-YY003	HYPERBILIRUBINEMIA
D-YY389	AMYLOID ENTEROPATHY
E-00010	ETIOLOGIC AGENT UNKNOWN
E-00030	ETIOLOGY, INFECTION TRANS BY CARRIER
E-00040	ETIOLOGIC AGENT NOT IDENTIFIED
E-00050	ETIOLOGY, UNIDENTIFIED SUBSTANCE, ASSUMED TOXIC
E-00070	INFECTIOUS AGENT, NOS
E-00100	ETIOLOGY, SOCIAL DEPRIVATION
E-00120	ETIOLOGY, INSTITUTION ASSOCIATION
E-00130	IATROGENIC, ETIOLOGY
E-00160	ETIOLOGY, THERAPEUTIC MISADVENTURE
E-00180	ETIOLOGY, DRUG ASSOCIATION
E-00200	ETIOLOGY, IDIOPATHIC
E-00220	ETIOLOGY, SECONDARY
E-00320	ETIOLOGY, ENVIRONMENT, AS CAUSE OF
E-00360	ETIOLOGY, OPERATIVE PROCEDURE, AS CAUSE OF
E-01000	HEREDITARY DISORDER OR ASSOCIATION, NOS
E-01100	ASSOCIATION, CONGENITAL
E-01120	ASSOCIATION, DEVELOPMENTAL
E-04000	MYCOLOGY, CULTURE
E-04110	CLADOSPORIUM, NOS
E-06000	BONE MARROW
E-10000	BACTERIUM, NOS
E-10003	NO MICROBIAL GROWTH
E-10010	BACILLI
E-10020	COCCUS
E-10030	BACTERIUM, GRAM POSITIVE
E-10040	BACILLUS, GRAM POSITIVE
E-10050	COCCUS, GRAM POSITIVE
E-10060	COCCOBACILLUS, GRAM POSITIVE
E-10070	BACTERIUM, GRAM NEGATIVE
E-10080	BACILLUS, GRAM NEGATIVE
E-10090	COCCUS, GRAM NEGATIVE
E-10100	COCCOBACILLUS, GRAM NEGATIVE
E-10140	TOXIN, CLOSTRIDIUM PERFRINGENS
E-10200	TOXIN, BACTERIAL
E-10500	ACINETOBACTER, NOS
E-10600	ACTINOBACILLUS, NOS
E-10700	ACTINOMYCES, NOS
E-11000	AEROMONAS, NOS
E-11010	AEROMONAS HYDROPHILA
E-11030	AEROMONAS SALMONICIDA
E-11100	ALCALIGENES, NOS
E-11110	ALCALIGENES FECALIS
E-11400	BACILLUS, NOS
E-11420	BACILLUS ANTHRACIS
E-11600	LARVAE, NOS
E-12000	BACTEROIDES, NOS
E-12700	BORDETELLA, NOS
E-12730	BORDETELLA BRONCHOSEPTICA
E-12800	BORRELIA, NOS
E-13200	BRANHAMELLA, NOS
E-13400	BRUCELLA, NOS
E-13420	BRUCELLA ABORTUS
E-13460	BRUCELLA CANIS
